,category,categoryId,categoryName,categoryUrl,foodImageUrl,genre,mediumImageUrl,nickname,pickup,rank,recipeCost,recipeDescription,recipeId,recipeIndication,recipeMaterial,recipePublishday,recipeTitle,recipeUrl,shop,smallImageUrl,中華,他,和食,洋食
26,3.0,17.0,汁物・スープ,https://recipe.rakuten.co.jp/category/17/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/76307709b9578b3d0da56d10204b392929a507a0.94.2.3.2.jpg,2.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/76307709b9578b3d0da56d10204b392929a507a0.94.2.3.2.jpg?thum=54,すたーびんぐ,1.0,1.0,300円前後,濃厚でクリーミーなコーンポタージュです♪ポタージュにリースをデコレーションしたらクリスマス気分もアップです☆,1110008709.0,約30分,"['バター', '小麦粉', '牛乳', 'コーンクリーム缶', '白ワイン', 'コンソメ顆粒', '生クリーム', '塩コショウ', '（デコレーション部分の材料）', '星形の人参スライス', 'パセリのみじん切り', '生クリーム']",2013/11/22 23:48:39,コーンポタージュ☆クリスマスバージョン☆,https://recipe.rakuten.co.jp/recipe/1110008709/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/76307709b9578b3d0da56d10204b392929a507a0.94.2.3.2.jpg?thum=55,0.0,0.0,0.0,1.0
27,3.0,17.0,汁物・スープ,https://recipe.rakuten.co.jp/category/17/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/b5fb3c2889b9ad6c5165339510dbbd79c835e21b.22.2.3.2.jpg,3.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/b5fb3c2889b9ad6c5165339510dbbd79c835e21b.22.2.3.2.jpg?thum=54,ひらりぃー,0.0,2.0,300円前後,スープに冷凍しておいた餃子を入れて、ボリュームアップ♪,1900014097.0,約30分,"['冷凍餃子', '白菜', 'にんじん', 'しょうが', '○鶏がらスープの素', '○水', '○酒', 'しょうゆ', '塩', 'こしょう']",2016/11/15 23:22:58,冷凍ぎょうざと白菜の中華スープ,https://recipe.rakuten.co.jp/recipe/1900014097/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/b5fb3c2889b9ad6c5165339510dbbd79c835e21b.22.2.3.2.jpg?thum=55,1.0,0.0,0.0,0.0
28,3.0,17.0,汁物・スープ,https://recipe.rakuten.co.jp/category/17/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/321dc217b98547b46e10784cd33af145c5016f1f.77.2.3.2.jpg,2.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/321dc217b98547b46e10784cd33af145c5016f1f.77.2.3.2.jpg?thum=54,Jrとmc,0.0,3.0,100円以下,"玉ねぎで血液サラサラ？

玉ねぎまるごと！

水と玉ねぎ、コンソメブイヨンを入れて煮込むだけ！",1760027863.0,約30分,"['玉ねぎ', '水', 'コンソメブイヨン', 'あれば刻みパセリと粉チーズ']",2017/09/01 12:18:43,20分煮込むだけ！　丸ごと玉葱(たまねぎ)スープ,https://recipe.rakuten.co.jp/recipe/1760027863/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/321dc217b98547b46e10784cd33af145c5016f1f.77.2.3.2.jpg?thum=55,0.0,0.0,0.0,1.0
29,3.0,17.0,汁物・スープ,https://recipe.rakuten.co.jp/category/17/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/a4628488d43f25ddfa8f031fd524202363ddbfbb.94.2.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/a4628488d43f25ddfa8f031fd524202363ddbfbb.94.2.3.2.jpg?thum=54,balletmom,1.0,4.0,500円前後,冬の定番和食メニューの豚粕汁です(*^▽^*)美味しくてあったまります♪,1080017367.0,約30分,"['酒粕', '豚こま切れ肉', 'ごぼう', '大根', 'にんじん', 'こんにゃく', '薄あげ', '豆腐', '青ねぎ', 'だし汁', '味噌', '柚子の皮（または、すだちの皮）']",2017/11/22 20:55:24,あったか豚粕汁☆冬のご馳走,https://recipe.rakuten.co.jp/recipe/1080017367/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/a4628488d43f25ddfa8f031fd524202363ddbfbb.94.2.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
64,3.0,35.0,大豆・豆腐,https://recipe.rakuten.co.jp/category/35/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/7708bca73ec94f5315239f3aa6d1d46648219bfd.08.2.3.2.jpg,3.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/7708bca73ec94f5315239f3aa6d1d46648219bfd.08.2.3.2.jpg?thum=54,まめもにお,1.0,4.0,指定なし,片栗粉でとろみをつけて、豆腐を入れてボリュームたっぷりの中華スープにしました。豆腐がつるん、スープがとろとろ♥いつまでも熱々です！,1070007235.0,指定なし,"['豆腐（絹）', '長ネギ', 'サラダ菜（レタス、ちんげん菜）', 'えのき茸', '＝＝＝＝＝＝スープ＝＝＝＝＝＝', '水', '●ウェイパー', '●醤油', '●お酒', '●塩、胡椒', '★片栗粉', '□ゴマ油']",2012/02/03 00:37:49,とろとろ豆腐の★熱々！中華スープ。,https://recipe.rakuten.co.jp/recipe/1070007235/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/7708bca73ec94f5315239f3aa6d1d46648219bfd.08.2.3.2.jpg?thum=55,1.0,0.0,0.0,0.0
104,3.0,49.0,おせち料理,https://recipe.rakuten.co.jp/category/49/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/8d0e07fbcde31c471882d64dce79de3641446ae8.86.2.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/8d0e07fbcde31c471882d64dce79de3641446ae8.86.2.3.2.jpg?thum=54,☆ゆぅ♪☆,0.0,4.0,500円前後,"お出汁が美味しいお雑煮です。
おかわり率高いので多めに作ります。",1890009049.0,約30分,"['鶏もも肉', '大根', 'にんじん', '三つ葉', 'なると', '切り餅', 'だし汁', '酒', '醤油', '砂糖', '青海苔or柚子の皮']",2016/01/24 23:29:37,お出汁が美味しいお雑煮♪簡単!!,https://recipe.rakuten.co.jp/recipe/1890009049/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/8d0e07fbcde31c471882d64dce79de3641446ae8.86.2.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
132,3.0,,ベーコン,https://recipe.rakuten.co.jp/category/10-68/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/0b85d003721cac0f928a836fa8b2d0f2aec89a63.54.2.3.2.jpg,2.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/0b85d003721cac0f928a836fa8b2d0f2aec89a63.54.2.3.2.jpg?thum=54,kuro_24,0.0,4.0,指定なし,コンソメだけでもベーコンの旨味が美味しい♪,1220009847.0,約10分,"['白菜', 'ハーフベーコン', '●コンソメ（固形）', '●水', 'ブラックペッパー']",2014/06/19 13:59:12,簡単♪白菜とベーコンのコンソメスープ,https://recipe.rakuten.co.jp/recipe/1220009847/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/0b85d003721cac0f928a836fa8b2d0f2aec89a63.54.2.3.2.jpg?thum=55,0.0,0.0,0.0,1.0
135,3.0,,ソーセージ・ウインナー,https://recipe.rakuten.co.jp/category/10-66/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/dabdd3866e701a90ae2ab3fb9246cbb893db8c59.86.2.3.2.jpg,2.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/dabdd3866e701a90ae2ab3fb9246cbb893db8c59.86.2.3.2.jpg?thum=54,aka.ru☆,1.0,3.0,300円前後,"大根が甘くて美味しい～♪
コンソメスープ（*＾‐＾*）",1210000236.0,約30分,"['大根', '人参', '玉ねぎ', 'ウインナー', 'コンソメ', '塩・コショウ', '醤油']",2010/11/23 10:36:07,温まる（*＾＾*）　大根のコンソメスープ♪,https://recipe.rakuten.co.jp/recipe/1210000236/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/dabdd3866e701a90ae2ab3fb9246cbb893db8c59.86.2.3.2.jpg?thum=55,0.0,0.0,0.0,1.0
147,3.0,,いわし,https://recipe.rakuten.co.jp/category/11-71/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/9ebacb5a7d2a832a69436b08aae91a42065198f1.81.2.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/9ebacb5a7d2a832a69436b08aae91a42065198f1.81.2.3.2.jpg?thum=54,Startrek,0.0,1.0,300円前後,新鮮なイワシのつみれからは濃厚なだしが出ます。卵白を使わないつみれはふわっふわで生姜の風味を効かせたお吸い物は絶品です。,1790010302.0,約30分,"['マイワシ(大型)', '長ネギ(つみれ用)', '生姜(おろし)', '塩(つみれ用)', '片栗粉', '大根', '椎茸', 'ゴボウ', '豆腐', '長ネギ(汁用)', '日本酒', 'みりん', '水', 'だしパック', '砂糖', '濃口醤油', '塩(汁用)']",2014/09/10 05:41:13,濃厚だしのお吸い物！　「イワシのつみれ汁」,https://recipe.rakuten.co.jp/recipe/1790010302/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/9ebacb5a7d2a832a69436b08aae91a42065198f1.81.2.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
150,3.0,,いわし,https://recipe.rakuten.co.jp/category/11-71/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c3ccb1779f6875d34ce2fc651518cc9dbbb1f489.96.2.3.2.jpg,1.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c3ccb1779f6875d34ce2fc651518cc9dbbb1f489.96.2.3.2.jpg?thum=54,ぼーずの母ちゃん,0.0,4.0,500円前後,"つみれ汁で魚を食べよう!!
４人分×２日の８人分で翌日も食べます(笑)",1850006076.0,約30分,"['市販のつみれ', '水', '生姜', '和風顆粒だし', '正油', '大根', '人参', 'ごぼう', '長ねぎ', '椎茸']",2014/10/13 19:19:19,市販のつみれを使って簡単具沢山つみれ汁,https://recipe.rakuten.co.jp/recipe/1850006076/,0.0,https://image.space.rakuten.co.jp/d/strg/ctrl/3/c3ccb1779f6875d34ce2fc651518cc9dbbb1f489.96.2.3.2.jpg?thum=55,0.0,0.0,1.0,0.0
