,categoryName,categoryId,categoryUrl,foodImageUrl,recipeDescription,recipePublishday,shop,pickup,recipeId,nickname,smallImageUrl,recipeMaterial,recipeIndication,recipeCost,rank,recipeUrl,mediumImageUrl,recipeTitle,category,和食,洋食,中華,他,genre
0,人気メニュー,30.0,https://recipe.rakuten.co.jp/category/30/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/66fc7af1b72e6955647b36f1434950cde8a37e14.26.2.3.2.jpg,"食べだすと、とまりません･:*+٩(๑❛ᴗ❛๑)۶.:+
里芋に片栗粉をまぶして揚げたものを、甘辛たれで絡めて仕上げました♪",2017/01/24 12:52:49,0,1,1950012560,ななじまる,https://image.space.rakuten.co.jp/d/strg/ctrl/3/66fc7af1b72e6955647b36f1434950cde8a37e14.26.2.3.2.jpg?thum=55,"['里芋', '片栗粉', '●醤油', '●砂糖', '●みりん', '●酢', '揚げ油']",約15分,300円前後,1,https://recipe.rakuten.co.jp/recipe/1950012560/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/66fc7af1b72e6955647b36f1434950cde8a37e14.26.2.3.2.jpg?thum=54,食べだすと、とまらない☆揚げ里芋の甘辛！,2.0,1.0,0.0,0.0,0.0,1
15,卵料理,33.0,https://recipe.rakuten.co.jp/category/33/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/cb249ee6e5cb2461194c17390bbf2a15cfba7072.46.2.3.2.jpg,おかずにはもちろんお弁当にもぴったりです！,2014/07/22 19:57:18,0,0,1050011301,uzuratukune3,https://image.space.rakuten.co.jp/d/strg/ctrl/3/cb249ee6e5cb2461194c17390bbf2a15cfba7072.46.2.3.2.jpg?thum=55,"['ほうれん草', '卵', 'マヨネーズ', '塩・こしょう', 'オリーブ油']",約10分,100円以下,4,https://recipe.rakuten.co.jp/recipe/1050011301/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/cb249ee6e5cb2461194c17390bbf2a15cfba7072.46.2.3.2.jpg?thum=54,簡単でうまい！ほうれん草の卵炒め,2.0,1.0,0.0,0.0,0.0,1
34,サラダ,18.0,https://recipe.rakuten.co.jp/category/18/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/d6a0ec714841cec52c724033fc244e64349e81ac.44.2.3.2.jpg,たっぷり作ってもすぐなくなる人気者です,2011/03/27 09:59:14,0,0,1950001362,momomamamoo,https://image.space.rakuten.co.jp/d/strg/ctrl/3/d6a0ec714841cec52c724033fc244e64349e81ac.44.2.3.2.jpg?thum=55,"['キャベツ', 'ニンジン', 'コーン', '塩', 'マヨネーズ', '酢', '砂糖']",約15分,100円以下,1,https://recipe.rakuten.co.jp/recipe/1950001362/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/d6a0ec714841cec52c724033fc244e64349e81ac.44.2.3.2.jpg?thum=54,ケンタッキー風コールスローサラダ,2.0,0.0,1.0,0.0,0.0,2
35,サラダ,18.0,https://recipe.rakuten.co.jp/category/18/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/5fed7b16ae8a9cf27fc4d0123fc678938e55a006.07.2.3.2.jpg,程よい酸味の梅ドレッシングでさっぱりいただけます♪今日はハイボールかな～(´∀｀*),2011/10/31 15:52:56,0,1,1370002733,メリッコ,https://image.space.rakuten.co.jp/d/strg/ctrl/3/5fed7b16ae8a9cf27fc4d0123fc678938e55a006.07.2.3.2.jpg?thum=55,"['大根', '水菜', '梅干し', 'かつおぶし', '●サラダ油', '●酢、水', '●砂糖', '●しょうゆ', '●和風だしの素']",約10分,100円以下,2,https://recipe.rakuten.co.jp/recipe/1370002733/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/5fed7b16ae8a9cf27fc4d0123fc678938e55a006.07.2.3.2.jpg?thum=54,居酒屋風☆大根サラダ（梅ドレッシング）,2.0,1.0,0.0,0.0,0.0,1
36,サラダ,18.0,https://recipe.rakuten.co.jp/category/18/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/abd873ef207cfd297292529f0e961ab8e4b54887.40.2.3.2.jpg,このサラダは歯ごたえが良くてお腹が膨れるのでダイエット中のおやつにおすすめ(っ´ω`c)♡,2016/01/09 20:45:15,0,0,1590008130,あんごるぁうさぎ,https://image.space.rakuten.co.jp/d/strg/ctrl/3/abd873ef207cfd297292529f0e961ab8e4b54887.40.2.3.2.jpg?thum=55,"['人参', 'きゅうり', '大根', 'a.みそ', 'a.マヨネーズ', 'a.砂糖', 'a.めんつゆ', 'a.七味唐辛子']",5分以内,100円以下,3,https://recipe.rakuten.co.jp/recipe/1590008130/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/abd873ef207cfd297292529f0e961ab8e4b54887.40.2.3.2.jpg?thum=54,セブンの野菜スティック♡味噌マヨディップ,2.0,1.0,0.0,0.0,0.0,1
37,サラダ,18.0,https://recipe.rakuten.co.jp/category/18/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/d45942fbf1ff0d7ddf516fd95439fee4a21ac713.01.2.3.2.jpg,ツナとタレがお野菜を美味しくまとめています♪,2016/01/06 16:02:10,0,0,1760023009,aoi++,https://image.space.rakuten.co.jp/d/strg/ctrl/3/d45942fbf1ff0d7ddf516fd95439fee4a21ac713.01.2.3.2.jpg?thum=55,"['ツナ缶', 'トマト', 'ブロッコリー（下茹でしたもの）', 'わかめ', '※酢', '※砂糖', '※ごま油', '※塩胡椒', '白ごま']",約10分,300円前後,4,https://recipe.rakuten.co.jp/recipe/1760023009/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/d45942fbf1ff0d7ddf516fd95439fee4a21ac713.01.2.3.2.jpg?thum=54,ツナとトマトとブロッコリーの中華和え＋＋,2.0,0.0,0.0,1.0,0.0,3
51,野菜,12.0,https://recipe.rakuten.co.jp/category/12/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/bc0564cd6b10ee11fa5e96f5091e709b42a3aa1b.94.1.3.2.jpg,"簡単ですがとっても美味しいんです！！

刻んでおにぎりの具材にしても◎",2010/12/20 23:32:19,0,1,1050000502,ｙｂｋｍｋ★,https://image.space.rakuten.co.jp/d/strg/ctrl/3/bc0564cd6b10ee11fa5e96f5091e709b42a3aa1b.94.1.3.2.jpg?thum=55,"['大根', '★砂糖', '★しょうゆ', '★酢', '★昆布']",約30分,300円前後,2,https://recipe.rakuten.co.jp/recipe/1050000502/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/bc0564cd6b10ee11fa5e96f5091e709b42a3aa1b.94.1.3.2.jpg?thum=54,今まで食べた大根の漬物の中で一番美味しい大根の漬物,2.0,1.0,0.0,0.0,0.0,1
59,ソース・調味料・ドレッシング,19.0,https://recipe.rakuten.co.jp/category/19/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/f0d400aad16f9ec49b3d349aed08cf11344931d2.85.2.3.2.jpg,"少し手間がかかりますが、本格的な韓国の味のキムチがお家で作れます。
美味しくって食べたら止まりません（*^_^*）",2015/02/02 00:26:33,0,0,1200007608,Anelavivi,https://image.space.rakuten.co.jp/d/strg/ctrl/3/f0d400aad16f9ec49b3d349aed08cf11344931d2.85.2.3.2.jpg?thum=55,"['白菜（小玉）', '大根', 'にんじん', '小ねぎ', '塩', '【キムチソック】', '粉唐辛子（粗びき）辛口', '粉唐辛子（粉末）甘口', '玉ねぎ', 'りんご', 'にんにく', '生姜', 'はちみつ', 'アミの塩辛', 'カナリエキス', 'or', 'ナンプラー', '【キムチのり】', '水', 'もち粉']",1時間以上,500円前後,4,https://recipe.rakuten.co.jp/recipe/1200007608/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/f0d400aad16f9ec49b3d349aed08cf11344931d2.85.2.3.2.jpg?thum=54,Korean☆韓国人に教えてもらった本格キムチ,2.0,0.0,0.0,1.0,0.0,3
61,大豆・豆腐,35.0,https://recipe.rakuten.co.jp/category/35/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/5a348ba758c32fec7359f655fbf6ea94cc0d25d9.78.2.3.2.jpg,"簡単♪ 早い！ 安い★

外はカリッと中はもっちり食感がクセになる♪
是非焼きたてを(*´ω｀*)

ほとんど豆腐なので軽く食べられます☆",2016/06/23 15:13:32,0,1,1740010470,こぶた...,https://image.space.rakuten.co.jp/d/strg/ctrl/3/5a348ba758c32fec7359f655fbf6ea94cc0d25d9.78.2.3.2.jpg?thum=55,"['木綿豆腐(350-400g)', 'カニカマ(約80ｇ)', '玉ねぎ', 'ネギ(あれば)', '○片栗粉', '○中華スープの素(鶏ガラでも)', '○塩', 'ごま油', 'ポン酢(お好みで)']",約15分,300円前後,1,https://recipe.rakuten.co.jp/recipe/1740010470/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/5a348ba758c32fec7359f655fbf6ea94cc0d25d9.78.2.3.2.jpg?thum=54,カリッともっちり♪ カニカマ豆腐焼き☆,2.0,1.0,0.0,0.0,0.0,1
63,大豆・豆腐,35.0,https://recipe.rakuten.co.jp/category/35/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/345ef555c4210524c92666612fc2b9f6ba1525ae.37.2.3.2.jpg,うす味お出汁の「あん」ですが、カニかまの風味が広がって美味しいですよ♪＾＾,2015/05/21 10:10:46,0,1,1790011263,ちえ'sキッチン,https://image.space.rakuten.co.jp/d/strg/ctrl/3/345ef555c4210524c92666612fc2b9f6ba1525ae.37.2.3.2.jpg?thum=55,"['絹ごし豆腐', 'ブロッコリー', 'カニかま', '水', '顆粒鶏がらスープ', 'しょう油', 'しょうが(チューブ)', '塩', '水溶き片栗粉']",約15分,300円前後,3,https://recipe.rakuten.co.jp/recipe/1790011263/,https://image.space.rakuten.co.jp/d/strg/ctrl/3/345ef555c4210524c92666612fc2b9f6ba1525ae.37.2.3.2.jpg?thum=54,カニかまとブロッコリーのとろとろ豆腐あんかけ♪,2.0,0.0,0.0,1.0,0.0,3
